Pass,Train_5day_Class0,Train_5day_Class1,Val_5day_Class0,Val_5day_Class1,Train_20day_Class0,Train_20day_Class1,Val_20day_Class0,Val_20day_Class1,Train_60day_Class0,Train_60day_Class1,Val_60day_Class0,Val_60day_Class1,Test_Class0,Test_Class1
1,1086,1403,144,99,1082,1392,138,90,1062,1372,112,76,123,129
2,1230,1511,121,122,1226,1500,119,109,1206,1480,104,84,111,140
3,1353,1640,111,131,1349,1629,106,121,1329,1609,91,96,132,119
4,1464,1780,130,112,1460,1769,125,102,1440,1749,100,87,98,154
5,1596,1899,97,146,1592,1888,92,136,1572,1868,72,116,98,155
6,1694,2053,96,148,1690,2042,91,138,1670,2022,75,114,111,141
7,1792,2208,106,137,1788,2197,97,131,1768,2177,73,115,128,123
8,1903,2349,124,118,1899,2338,118,109,1879,2318,106,81,125,125
9,2031,2472,125,116,2027,2461,118,108,2007,2441,95,91,102,150
10,2156,2597,95,148,2152,2586,89,139,2132,2566,79,109,73,176
