Window,Model,Avg_ACC,ACC_Std,Macro_F1,Macro_F1_Std,Wins_CNN,Wins_Pattern,Precision,Precision_Std,Recall,Recall_Std
5-day,CNN,0.5063,0.0508,0.4711,0.0295,Baseline,Baseline,0.4870,0.0237,0.4889,0.0198
5-day,Co-ViT-LSTM,0.5480,0.0653,0.4001,0.0366,8/10,-+-+++++++,0.4253,0.0612,0.5018,0.0085
5-day,Co-ViT-TRM,0.5509,0.0660,0.3752,0.0348,9/10,++-+++++++,0.3595,0.0845,0.5032,0.0057
5-day,LSTM,0.5570,0.0713,0.3969,0.0511,9/10,++-+++++++,0.3717,0.0857,0.5097,0.0200
5-day,TRM,0.5413,0.0621,0.4134,0.0426,8/10,-+-+++++++,0.4347,0.0621,0.5023,0.0212
5-day,ViT,0.5572,0.0690,0.3710,0.0268,9/10,++-+++++++,0.3521,0.0565,0.5004,0.0047
5-day,ViT + LSTM,0.5421,0.0707,0.3788,0.0322,8/10,-+-+++++++,0.3612,0.0814,0.4975,0.0082
5-day,ViT + TRM,0.5553,0.0707,0.3880,0.0420,9/10,++-+++++++,0.3889,0.0908,0.5035,0.0096
20-day,CNN,0.5147,0.0436,0.4840,0.0272,Baseline,Baseline,0.5027,0.0238,0.5034,0.0207
20-day,Co-ViT-LSTM,0.5631,0.0647,0.3981,0.0286,9/10,++++++-+++,0.4203,0.0891,0.5058,0.0116
20-day,Co-ViT-TRM,0.5541,0.0700,0.3815,0.0319,7/10,++-+++--++,0.3667,0.0604,0.5013,0.0081
20-day,LSTM,0.5436,0.0744,0.3735,0.0347,7/10,++-+++--++,0.3486,0.0812,0.4918,0.0145
20-day,TRM,0.5288,0.0527,0.4350,0.0343,6/10,++--++--++,0.4910,0.0697,0.5108,0.0174
20-day,ViT,0.5402,0.0698,0.3916,0.0312,7/10,++-+++--++,0.4316,0.0680,0.4998,0.0123
20-day,ViT + LSTM,0.5553,0.0644,0.4062,0.0454,9/10,++++++-+++,0.4364,0.1096,0.5049,0.0138
20-day,ViT + TRM,0.5499,0.0679,0.3845,0.0317,9/10,++++++-+++,0.3925,0.0751,0.4984,0.0123
60-day,CNN,0.4898,0.0348,0.4584,0.0314,Baseline,Baseline,0.4856,0.0340,0.4840,0.0278
60-day,Co-ViT-LSTM,0.5292,0.0749,0.3952,0.0329,6/10,+---++-+++,0.3943,0.0790,0.4976,0.0136
60-day,Co-ViT-TRM,0.5033,0.0437,0.3912,0.0421,6/10,+-+-++--++,0.4141,0.1000,0.4978,0.0262
60-day,LSTM,0.4927,0.0392,0.3939,0.0559,3/10,++---+----,0.4108,0.0942,0.4996,0.0178
60-day,TRM,0.5030,0.0495,0.4005,0.0457,6/10,+++-+++---,0.4058,0.0729,0.5101,0.0148
60-day,ViT,0.5474,0.0703,0.3872,0.0306,7/10,++-+++--++,0.3672,0.0668,0.4957,0.0092
60-day,ViT + LSTM,0.5340,0.0740,0.3898,0.0388,6/10,++--++--++,0.3908,0.0895,0.4993,0.0079
60-day,ViT + TRM,0.5020,0.0362,0.3993,0.0637,6/10,+++-++--+-,0.4123,0.1194,0.5030,0.0281
