Window,Model,CAGR_Pct,Sharpe,Vol_Pct,MDD_Pct,Final_USD
5-day,CNN,8.35,0.8274,10.32,-21.07,22287.39
5-day,Co-ViT-LSTM,12.72,0.9625,13.24,-20.27,33491.68
5-day,Co-ViT-TRM,13.12,0.9540,13.79,-22.00,34683.86
5-day,LSTM,14.01,1.0397,13.51,-21.89,36886.18
5-day,TRM,11.67,0.9070,12.96,-20.93,30625.35
5-day,ViT,14.37,0.9965,14.53,-22.40,38095.46
5-day,ViT + LSTM,12.06,0.9057,13.40,-22.27,31727.69
5-day,ViT + TRM,13.82,0.9946,13.98,-21.81,36471.58
5-day,Buy-and-Hold,14.51,0.9901,14.80,-22.00,38708.39
20-day,CNN,9.32,0.9746,9.61,-14.80,24405.58
20-day,Co-ViT-LSTM,14.73,1.0371,14.24,-21.71,39176.14
20-day,Co-ViT-TRM,13.53,0.9685,14.00,-22.04,35933.16
20-day,LSTM,12.82,0.9191,14.14,-22.64,33785.48
20-day,TRM,10.08,0.8627,11.95,-19.31,26184.52
20-day,ViT,12.06,0.9059,13.44,-21.61,31590.22
20-day,ViT + LSTM,13.76,0.9906,13.99,-22.85,36160.71
20-day,ViT + TRM,13.35,0.9536,14.19,-21.88,34941.52
20-day,Buy-and-Hold,14.51,0.9901,14.80,-22.00,38708.39
60-day,CNN,5.97,0.6293,9.81,-19.86,18104.42
60-day,Co-ViT-LSTM,10.41,0.8387,12.66,-22.21,27238.68
60-day,Co-ViT-TRM,7.18,0.6062,11.61,-21.69,21188.38
60-day,LSTM,6.84,0.6310,11.15,-21.38,19656.20
60-day,TRM,6.21,0.5947,10.98,-20.05,18381.48
60-day,ViT,12.88,0.9408,13.87,-23.01,33533.65
60-day,ViT + LSTM,11.02,0.8611,13.11,-21.82,28385.42
60-day,ViT + TRM,7.35,0.6354,11.31,-21.42,21421.72
60-day,Buy-and-Hold,14.51,0.9901,14.80,-22.00,38708.39
